title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language
Schindler 289,Hollywood,1952,8.6,Zee Studios,244.73,2140.22,Billions,USD,Bengali
Parasite 290,Bollywood,2006,7.8,Warner Bros,160.53,2592.42,Billions,INR,Hindi
Avengers 291,Hollywood,1965,7.8,Universal,304.61,4657.82,Billions,USD,Kannada
Pushpa 292,Hollywood,1973,8.7,Paramount,26.74,3245.47,Billions,USD,Kannada
PK 293,Hollywood,1984,8.4,Paramount,17.38,2452.22,Billions,USD,Hindi
KGF 294,Bollywood,2023,8.6,Yash Raj Films,192.0,965.18,Millions,INR,English
Dark Knight 295,Hollywood,1953,5.4,Yash Raj Films,344.21,2706.16,Millions,USD,English
RRR 296,Bollywood,2012,5.2,Dharma Productions,206.32,1717.83,Billions,INR,Hindi
Shawshank 297,Hollywood,1988,7.4,Columbia Pictures,349.26,2881.01,Billions,USD,Kannada
Pursuit 298,Bollywood,1992,5.6,Liberty Films,139.6,3057.85,Millions,INR,Bengali
Parasite 299,Bollywood,2006,9.4,Dharma Productions,84.1,2226.06,Millions,INR,Telugu
Thor 300,Bollywood,1950,5.1,DVV Entertainment,161.78,4362.06,Millions,INR,Telugu
Pushpa 301,Bollywood,1996,8.3,Paramount,292.82,4983.78,Millions,INR,Bengali
Thor 302,Hollywood,1966,8.8,Marvel Studios,448.97,4036.44,Millions,USD,Telugu
Godfather 303,Bollywood,1972,7.3,Dharma Productions,13.89,4078.2,Billions,INR,Telugu
Avatar 304,Bollywood,1975,6.2,Marvel Studios,362.32,486.89,Millions,INR,English
Dilwale 305,Bollywood,1976,5.3,Columbia Pictures,230.16,182.82,Millions,INR,Kannada
RRR 306,Bollywood,2002,9.4,Marvel Studios,187.14,4825.9,Millions,INR,Kannada
3 Idiots 307,Hollywood,2008,9.2,Paramount,136.93,652.01,Billions,USD,English
Jurassic Park 308,Bollywood,1981,8.8,Warner Bros,384.92,4860.61,Millions,INR,Kannada
3 Idiots 309,Bollywood,2016,8.9,Marvel Studios,233.56,4108.63,Millions,INR,Kannada
Pursuit 310,Bollywood,1993,8.0,Marvel Studios,492.01,4039.91,Millions,INR,Hindi
Avatar 311,Bollywood,1979,6.3,Marvel Studios,205.99,2026.58,Millions,INR,Telugu
Sanju 312,Hollywood,1975,7.0,Columbia Pictures,187.75,210.36,Millions,USD,Kannada
Doctor Str 313,Bollywood,1950,9.4,DVV Entertainment,89.42,1972.33,Millions,INR,Kannada
Pushpa 314,Bollywood,1996,7.5,Dharma Productions,356.63,2880.46,Millions,INR,Bengali
Gladiator 315,Bollywood,2009,8.1,Universal,229.88,2421.82,Millions,INR,Telugu
Doctor Str 316,Bollywood,1980,8.4,Marvel Studios,120.16,4211.44,Billions,INR,Hindi
Interstellar 317,Hollywood,2010,8.6,Marvel Studios,81.86,2347.64,Millions,USD,Telugu
Jurassic Park 318,Hollywood,1989,6.5,Marvel Studios,457.15,3576.06,Millions,USD,Hindi
Titanic 319,Bollywood,1958,7.1,DVV Entertainment,201.28,2471.26,Millions,INR,Hindi
KGF 320,Bollywood,1971,5.4,Paramount,276.47,2584.19,Billions,INR,Kannada
Titanic 321,Hollywood,1994,8.8,Universal,498.53,317.18,Billions,USD,Bengali
Thor 322,Bollywood,1979,8.9,Liberty Films,412.74,2944.31,Millions,INR,English
Captain America 323,Bollywood,1950,6.6,Yash Raj Films,349.28,468.47,Billions,INR,English
Munna Bhai 324,Bollywood,1996,8.8,DVV Entertainment,143.68,553.78,Billions,INR,Telugu
Jurassic Park 325,Bollywood,1966,6.8,Dharma Productions,221.05,1337.18,Millions,INR,Telugu
Avatar 326,Bollywood,1958,6.7,DVV Entertainment,250.32,1419.87,Millions,INR,Kannada
Pursuit 327,Hollywood,1950,7.2,DVV Entertainment,212.72,660.01,Billions,USD,Telugu
Thor 328,Bollywood,1973,8.6,Liberty Films,456.1,2808.96,Billions,INR,Hindi
Munna Bhai 329,Hollywood,1967,7.3,Yash Raj Films,337.83,4380.85,Millions,USD,English
RRR 330,Hollywood,1980,7.8,DVV Entertainment,498.88,4174.06,Billions,USD,Bengali
Pathar P 331,Bollywood,1993,7.3,Dharma Productions,222.26,3619.93,Millions,INR,English
Pathar P 332,Hollywood,1970,6.2,Liberty Films,149.97,2202.49,Billions,USD,Bengali
Thor 333,Bollywood,1956,8.0,Marvel Studios,357.31,1333.35,Billions,INR,Bengali
Titanic 334,Hollywood,1964,7.2,Dharma Productions,430.68,4803.45,Millions,USD,Hindi
Godfather 335,Hollywood,1951,7.6,Paramount,336.78,2435.21,Millions,USD,English
Jurassic Park 336,Bollywood,2017,8.8,Columbia Pictures,334.25,1620.28,Millions,INR,Hindi
Sanju 337,Hollywood,1964,7.9,Yash Raj Films,346.13,2207.48,Billions,USD,Kannada
3 Idiots 338,Bollywood,2008,6.9,Marvel Studios,380.24,1829.02,Millions,INR,Bengali
Munna Bhai 339,Hollywood,2003,7.5,DVV Entertainment,127.89,2409.63,Billions,USD,English
Interstellar 340,Hollywood,1969,7.1,Yash Raj Films,499.55,230.12,Millions,USD,English
Titanic 341,Bollywood,1965,5.1,Yash Raj Films,83.45,209.82,Millions,INR,Hindi
Titanic 342,Hollywood,2009,7.9,Universal,349.7,231.59,Billions,USD,Hindi
Godfather 343,Bollywood,1989,7.0,Liberty Films,342.56,4486.31,Billions,INR,Bengali
Thor 344,Hollywood,1955,8.7,Marvel Studios,147.49,1335.39,Billions,USD,Kannada
Parasite 345,Hollywood,2011,5.1,Liberty Films,279.91,2683.93,Millions,USD,Kannada
PK 346,Hollywood,2019,8.8,Warner Bros,465.97,1114.57,Millions,USD,Telugu
Pushpa 347,Bollywood,2002,9.2,Paramount,230.46,1827.88,Millions,INR,Telugu
Interstellar 348,Bollywood,2013,6.0,DVV Entertainment,255.75,4399.49,Billions,INR,Bengali
Munna Bhai 349,Hollywood,2016,6.9,Marvel Studios,377.96,2418.96,Billions,USD,Bengali
Pathar P 350,Bollywood,2003,6.2,Columbia Pictures,464.34,1305.28,Billions,INR,English
Dark Knight 351,Bollywood,2017,9.2,Liberty Films,135.18,3915.17,Billions,INR,Hindi
Interstellar 352,Hollywood,1971,7.0,Marvel Studios,130.37,4802.87,Millions,USD,Hindi
Sanju 353,Bollywood,1970,5.9,Dharma Productions,229.96,1317.56,Millions,INR,Telugu
Interstellar 354,Bollywood,1985,7.0,Yash Raj Films,50.22,2357.65,Millions,INR,Kannada
Parasite 355,Bollywood,1994,6.8,Yash Raj Films,113.88,2436.4,Billions,INR,English
Gladiator 356,Hollywood,2000,8.8,Liberty Films,88.99,2591.82,Millions,USD,Bengali
Thor 357,Hollywood,2008,5.8,Zee Studios,459.16,766.51,Millions,USD,Bengali
Pathar P 358,Hollywood,1974,6.3,Marvel Studios,357.54,2045.9,Millions,USD,English
KGF 359,Hollywood,1959,8.8,Warner Bros,247.88,4079.84,Millions,USD,Kannada
Pursuit 360,Bollywood,1970,6.7,Dharma Productions,41.41,2879.37,Millions,INR,English
Godfather 361,Bollywood,2021,5.4,DVV Entertainment,181.7,816.17,Millions,INR,Telugu
Gladiator 362,Hollywood,1976,5.0,Universal,254.97,2431.19,Billions,USD,Hindi
Godfather 363,Bollywood,2020,5.3,Dharma Productions,170.4,3502.6,Billions,INR,Kannada
Bajirao 364,Hollywood,1996,6.1,Universal,332.66,3643.09,Millions,USD,Hindi
3 Idiots 365,Bollywood,2002,7.7,DVV Entertainment,131.53,4443.85,Billions,INR,Kannada
Pushpa 366,Hollywood,1996,8.5,Universal,399.98,3101.02,Billions,USD,Telugu
Avatar 367,Bollywood,1965,5.6,Paramount,334.31,2159.3,Billions,INR,English
Pushpa 368,Hollywood,1977,9.1,Columbia Pictures,326.24,409.17,Billions,USD,Bengali
Dilwale 369,Hollywood,1956,6.0,Columbia Pictures,17.98,3310.29,Millions,USD,English
Pathar P 370,Hollywood,2023,6.3,Zee Studios,31.24,1320.94,Billions,USD,Bengali
Bajirao 371,Hollywood,1987,9.3,Warner Bros,51.84,1814.31,Millions,USD,Kannada
Taare Zameen 372,Bollywood,1999,5.9,Paramount,189.07,2027.74,Millions,INR,Telugu
Dilwale 373,Hollywood,1965,8.8,DVV Entertainment,386.76,3887.5,Billions,USD,Kannada
Godfather 374,Hollywood,1959,8.4,Warner Bros,324.71,1405.31,Billions,USD,Telugu
Pathar P 375,Hollywood,1998,5.1,Warner Bros,53.0,126.93,Billions,USD,Bengali
Shawshank 376,Bollywood,2011,5.3,Yash Raj Films,247.13,2684.47,Millions,INR,Telugu
Schindler 377,Hollywood,2014,7.2,DVV Entertainment,204.91,2359.33,Millions,USD,Kannada
Taare Zameen 378,Hollywood,2023,5.3,Universal,37.07,2503.34,Millions,USD,Kannada
Shawshank 379,Hollywood,1985,6.5,Marvel Studios,436.54,4886.79,Millions,USD,English
Taare Zameen 380,Bollywood,1967,8.4,Columbia Pictures,137.53,2040.98,Millions,INR,Hindi
Parasite 381,Bollywood,1961,6.6,DVV Entertainment,283.08,3549.42,Millions,INR,Hindi
Interstellar 382,Bollywood,1957,7.3,Yash Raj Films,259.42,696.38,Millions,INR,Bengali
3 Idiots 383,Hollywood,2000,7.6,Universal,270.29,3970.93,Billions,USD,Telugu
Captain America 384,Hollywood,1980,6.4,Liberty Films,269.14,3813.19,Billions,USD,English
Pathar P 385,Hollywood,2013,8.5,Zee Studios,230.9,1293.28,Billions,USD,English
RRR 386,Bollywood,1965,5.2,Liberty Films,132.35,4345.85,Millions,INR,Hindi
RRR 387,Hollywood,1951,6.2,Zee Studios,406.82,4221.07,Billions,USD,Hindi
Schindler 388,Hollywood,1983,5.6,Dharma Productions,10.39,4972.17,Billions,USD,Hindi
PK 389,Bollywood,2001,7.1,Columbia Pictures,42.45,1703.23,Billions,INR,Bengali
Godfather 390,Hollywood,1986,5.4,Warner Bros,430.97,3131.54,Billions,USD,Hindi
Jurassic Park 391,Bollywood,1998,5.2,Yash Raj Films,364.32,2401.87,Billions,INR,Bengali
Gladiator 392,Hollywood,1968,6.9,Universal,337.15,4463.79,Millions,USD,Bengali
Bajirao 393,Bollywood,1977,5.9,Zee Studios,381.16,4029.44,Billions,INR,Bengali
Parasite 394,Hollywood,1958,6.2,Marvel Studios,261.96,344.57,Millions,USD,Kannada
Doctor Str 395,Hollywood,2013,6.1,Yash Raj Films,83.69,245.01,Millions,USD,Bengali
3 Idiots 396,Bollywood,1972,8.6,Warner Bros,482.29,589.25,Billions,INR,Kannada
Taare Zameen 397,Hollywood,2004,5.5,Yash Raj Films,452.39,1820.27,Billions,USD,Kannada
Interstellar 398,Hollywood,1984,7.9,Zee Studios,79.81,4008.5,Billions,USD,Telugu
3 Idiots 399,Hollywood,1952,7.5,Columbia Pictures,143.68,1914.79,Millions,USD,Hindi
3 Idiots 400,Bollywood,2003,8.6,Marvel Studios,442.29,1597.41,Billions,INR,Telugu
3 Idiots 401,Hollywood,1985,6.9,Warner Bros,394.97,2723.15,Millions,USD,Telugu
Taare Zameen 402,Hollywood,1977,5.2,Marvel Studios,364.61,4575.8,Millions,USD,Telugu
Captain America 403,Bollywood,1956,7.8,Yash Raj Films,117.96,4204.27,Millions,INR,Hindi
Dark Knight 404,Hollywood,1986,8.7,Zee Studios,489.34,2935.6,Billions,USD,Hindi
Bajirao 405,Hollywood,2017,6.2,Warner Bros,387.77,3020.42,Billions,USD,Hindi
Pushpa 406,Hollywood,1964,6.4,Warner Bros,93.94,621.96,Millions,USD,Kannada
Parasite 407,Bollywood,2005,8.2,Universal,404.47,1364.2,Billions,INR,Bengali
Taare Zameen 408,Bollywood,2010,7.5,Columbia Pictures,353.86,3210.4,Millions,INR,Kannada
Sanju 409,Bollywood,2005,8.7,DVV Entertainment,484.01,476.56,Millions,INR,Kannada
Pathar P 410,Bollywood,1958,5.6,Paramount,86.47,3486.9,Billions,INR,Hindi
Jurassic Park 411,Bollywood,1960,5.2,Yash Raj Films,233.9,803.86,Billions,INR,Hindi
Pathar P 412,Hollywood,2020,5.4,Zee Studios,423.79,1366.75,Millions,USD,English
Titanic 413,Bollywood,2001,7.0,Marvel Studios,459.54,3279.42,Billions,INR,Bengali
Avengers 414,Bollywood,2007,7.7,Paramount,199.68,8.53,Millions,INR,Hindi
Gladiator 415,Bollywood,1994,7.3,Columbia Pictures,144.3,3853.39,Millions,INR,Kannada
PK 416,Hollywood,1999,7.9,Dharma Productions,48.46,4026.97,Billions,USD,Bengali
Taare Zameen 417,Hollywood,1999,6.6,Universal,195.93,733.68,Billions,USD,Bengali
Gladiator 418,Hollywood,1961,7.0,Paramount,312.25,4886.49,Millions,USD,Telugu
Dilwale 419,Bollywood,2016,8.2,Paramount,59.31,1129.14,Billions,INR,Telugu
Dilwale 420,Hollywood,2016,5.4,Paramount,16.33,3744.7,Millions,USD,Telugu
Schindler 421,Hollywood,1984,9.1,DVV Entertainment,366.46,1532.07,Billions,USD,Hindi
Godfather 422,Bollywood,2009,5.8,Columbia Pictures,107.69,1215.19,Millions,INR,Kannada
Bajirao 423,Bollywood,2019,6.2,Dharma Productions,299.31,3045.92,Billions,INR,Kannada
Gladiator 424,Hollywood,1994,6.5,Paramount,169.27,2926.11,Millions,USD,Telugu
Dark Knight 425,Hollywood,1996,5.9,DVV Entertainment,331.85,4519.94,Millions,USD,Kannada
Dilwale 426,Hollywood,1997,8.2,Zee Studios,45.38,2533.57,Millions,USD,Kannada
Titanic 427,Hollywood,1974,9.1,Warner Bros,283.23,411.77,Millions,USD,Bengali
Dark Knight 428,Bollywood,1955,5.2,Dharma Productions,222.73,638.8,Millions,INR,Kannada
Dark Knight 429,Bollywood,1978,5.4,Universal,200.92,2844.65,Billions,INR,Bengali
Kabhi Khushi 430,Bollywood,1961,6.8,Marvel Studios,317.88,3175.01,Millions,INR,English
3 Idiots 431,Bollywood,2018,6.5,Universal,441.16,2992.78,Billions,INR,Kannada
Interstellar 432,Hollywood,2019,8.0,Universal,233.79,928.65,Billions,USD,Kannada
Parasite 433,Bollywood,1995,8.9,Columbia Pictures,124.5,1976.7,Millions,INR,Kannada
3 Idiots 434,Bollywood,1951,8.4,Liberty Films,79.92,1073.1,Billions,INR,English
Kabhi Khushi 435,Bollywood,1964,8.3,Marvel Studios,187.22,3929.49,Billions,INR,Bengali
Avengers 436,Bollywood,2018,6.2,Yash Raj Films,60.72,2379.12,Millions,INR,Hindi
Godfather 437,Bollywood,1952,5.2,Liberty Films,315.74,326.92,Millions,INR,Kannada
Dilwale 438,Hollywood,1981,6.2,Zee Studios,452.26,4203.37,Billions,USD,Hindi
Bajirao 439,Hollywood,1984,5.4,Zee Studios,146.19,1601.32,Millions,USD,English
Jurassic Park 440,Hollywood,2006,6.7,Yash Raj Films,290.92,3813.87,Billions,USD,Bengali
RRR 441,Hollywood,2007,5.5,Universal,357.32,1483.12,Billions,USD,Hindi
Avatar 442,Hollywood,2020,6.5,Yash Raj Films,161.46,2806.81,Billions,USD,Hindi
Kabhi Khushi 443,Hollywood,1961,7.0,Zee Studios,299.35,669.8,Millions,USD,Kannada
Bajirao 444,Bollywood,1990,7.8,Dharma Productions,227.69,936.47,Billions,INR,Hindi
RRR 445,Hollywood,1992,5.9,Columbia Pictures,319.3,3560.63,Billions,USD,Telugu
Avatar 446,Bollywood,1992,6.9,Paramount,204.73,1415.88,Millions,INR,Telugu
Pathar P 447,Hollywood,1997,8.7,Warner Bros,104.84,2715.76,Billions,USD,Hindi
Jurassic Park 448,Hollywood,1967,5.0,Dharma Productions,317.73,866.14,Millions,USD,English
Pursuit 449,Bollywood,2001,7.8,Zee Studios,192.77,3123.88,Millions,INR,Bengali
Parasite 450,Bollywood,1985,7.1,Zee Studios,167.4,1450.41,Millions,INR,Hindi
Munna Bhai 451,Hollywood,2004,9.2,Universal,342.44,1951.62,Billions,USD,Kannada
Dilwale 452,Hollywood,1972,6.9,Dharma Productions,160.73,4830.11,Millions,USD,English
Taare Zameen 453,Bollywood,1984,5.9,Yash Raj Films,388.56,4854.83,Billions,INR,Telugu
Interstellar 454,Bollywood,2003,9.2,Warner Bros,288.49,505.72,Billions,INR,Hindi
Titanic 455,Bollywood,1972,6.2,Marvel Studios,422.7,585.25,Millions,INR,Telugu
Godfather 456,Bollywood,1979,7.5,Universal,312.8,3415.94,Billions,INR,Bengali
Interstellar 457,Bollywood,1951,6.9,Warner Bros,444.87,3513.46,Millions,INR,Hindi
Sanju 458,Hollywood,1955,5.0,Liberty Films,41.34,1976.67,Millions,USD,Hindi
KGF 459,Bollywood,2015,8.4,Dharma Productions,301.15,3737.89,Millions,INR,Kannada
Gladiator 460,Hollywood,1984,6.1,Yash Raj Films,319.27,2349.22,Billions,USD,Kannada
Kabhi Khushi 461,Hollywood,2006,5.3,DVV Entertainment,41.71,1435.84,Billions,USD,English
Doctor Str 462,Hollywood,1977,7.1,Columbia Pictures,414.36,3220.31,Billions,USD,Kannada
Shawshank 463,Hollywood,2011,6.4,Dharma Productions,389.43,1167.42,Billions,USD,Telugu
Doctor Str 464,Hollywood,1982,9.4,Columbia Pictures,494.75,2091.1,Billions,USD,Bengali
KGF 465,Hollywood,1950,9.1,Warner Bros,168.31,1186.95,Billions,USD,Bengali
Shawshank 466,Bollywood,1991,9.0,Zee Studios,417.43,2406.38,Billions,INR,Telugu
Taare Zameen 467,Bollywood,1976,5.7,Yash Raj Films,308.71,2715.94,Billions,INR,English
Dark Knight 468,Hollywood,1962,8.1,Paramount,343.12,4979.72,Billions,USD,Hindi
Sanju 469,Bollywood,2016,8.0,Paramount,340.36,4773.13,Billions,INR,English
Bajirao 470,Hollywood,2013,8.1,Marvel Studios,89.14,4929.71,Billions,USD,Kannada
Kabhi Khushi 471,Bollywood,1970,6.6,Liberty Films,215.73,2499.24,Billions,INR,Hindi
Kabhi Khushi 472,Bollywood,2002,9.1,Dharma Productions,3.16,442.28,Millions,INR,Hindi
Thor 473,Bollywood,2011,8.0,Columbia Pictures,172.35,2298.0,Millions,INR,Bengali
PK 474,Hollywood,2000,9.1,Paramount,251.35,3276.79,Billions,USD,Hindi
Avatar 475,Bollywood,1962,6.6,Paramount,33.08,3866.1,Millions,INR,Hindi
RRR 476,Hollywood,1984,8.4,DVV Entertainment,250.02,4001.72,Millions,USD,Hindi
Dark Knight 477,Bollywood,2018,8.9,Columbia Pictures,185.71,4931.63,Millions,INR,Telugu
Thor 478,Hollywood,1974,9.3,Zee Studios,151.78,2350.53,Millions,USD,Hindi
Munna Bhai 479,Bollywood,1980,7.2,Liberty Films,305.83,629.17,Billions,INR,Bengali
Pursuit 480,Hollywood,2019,5.4,Yash Raj Films,67.09,289.91,Billions,USD,English
Interstellar 481,Hollywood,1971,9.0,Paramount,89.73,2463.56,Millions,USD,Kannada
Titanic 482,Hollywood,1994,6.4,Warner Bros,479.72,1236.74,Millions,USD,Telugu
Pursuit 483,Bollywood,1952,5.1,Yash Raj Films,40.93,3773.93,Billions,INR,Bengali
PK 484,Hollywood,2013,9.3,Zee Studios,224.49,4891.08,Millions,USD,Bengali
Kabhi Khushi 485,Bollywood,2010,6.5,Warner Bros,495.95,1480.81,Millions,INR,English
Interstellar 486,Hollywood,2011,8.5,Columbia Pictures,5.9,1700.98,Millions,USD,Hindi
PK 487,Hollywood,2015,9.0,Universal,63.01,2046.9,Billions,USD,Telugu
Pursuit 488,Hollywood,1972,7.4,Marvel Studios,105.02,1452.58,Billions,USD,Hindi
Bajirao 489,Hollywood,1991,7.1,Warner Bros,27.36,2269.19,Billions,USD,Hindi
Thor 490,Hollywood,1959,9.3,Liberty Films,344.7,3098.44,Millions,USD,Telugu
Taare Zameen 491,Bollywood,1953,9.0,Liberty Films,31.16,1300.32,Millions,INR,Kannada
Pathar P 492,Hollywood,1974,8.6,Liberty Films,51.27,1759.27,Billions,USD,Kannada
RRR 493,Hollywood,2006,6.8,Yash Raj Films,78.68,61.07,Millions,USD,English
Pathar P 494,Bollywood,1950,7.1,Liberty Films,122.09,4481.01,Billions,INR,Kannada
Interstellar 495,Bollywood,1971,8.5,Warner Bros,229.95,3893.12,Billions,INR,Telugu
3 Idiots 496,Hollywood,1957,8.9,Zee Studios,187.03,3840.66,Millions,USD,Telugu
Doctor Str 497,Hollywood,1958,6.0,Columbia Pictures,366.23,3003.96,Billions,USD,Kannada
Titanic 498,Hollywood,1987,6.0,Dharma Productions,365.19,1750.04,Billions,USD,Bengali
Interstellar 499,Hollywood,1995,7.1,Paramount,435.01,3949.17,Millions,USD,Telugu
Captain America 500,Bollywood,1962,8.6,Zee Studios,136.47,4918.88,Millions,INR,Bengali
