title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language
Munna Bhai 119,,,7.6,Columbia Pictures,186.45,395.16,Billions,USD,
PK32,Bollywood,2013,6.7,Zee Studios,40.89,1179.05,Millions,INR,Bengali
Bajirao53,,2020,6.9,Warner Bros,486.12M,2199.68,Millions,USD,
Godfather97,Hollywood,1965,8.9,Warner Bros,347.05,3950.69,,INR,
Avengers 69,,2001,9.5,,-51.71,4109.15,,INR,English
Pathar P82,,1956,8.5,Warner Bros,410.02M,211.28,,USD,Hindi
Parasite 183,Bollywood,1967,7.2,Zee Studios,78.42M,3288.39,Millions,INR,
Schindler 173,Bollywood,1972,7.4,DVV Entertainment,62.88,1669.89,,USD,Bengali
Shawshank101,Hollywood,,N/A,Yash Raj Films,286.78,4051.23,Millions,USD,Kannada
Pathar P152,,1960,7.8,Yash Raj Films,11.26,2036.7,Millions,USD,
Jurassic Park 76,Bollywood,1977,5.5,Dharma Productions,377.75,2098.1,Millions,INR,Bengali
KGF 104,,1953,9.3,,271.6,1087.37,Millions,USD,Bengali
RRR64,Bollywood,,,Warner Bros,196.47,2752.32,,USD,
Thor4,,,8.2,Columbia Pictures,262.27,4747.05,Billions,USD,
Captain America192,,1974,7.7,,130.4,3696.13,,INR,Bengali
Captain America120,Bollywood,,9.2,Yash Raj Films,307.07,4651.6,,USD,
Godfather 174,Bollywood,1961,5.4,Dharma Productions,79.14,2053.73,Millions,INR,English
Godfather106,Bollywood,1952,7.9,Dharma Productions,3.29,2479.16,Millions,INR,
Dark Knight10,,1957,7.6,DVV Entertainment,418.8,7.38B,Millions,USD,Hindi
Pathar P 189,,2009,,Marvel Studios,122.56,3667.14,Millions,USD,
Interstellar142,Hollywood,1966,7.4,Yash Raj Films,416.12,2186.72,Billions,USD,English
Dilwale161,Hollywood,,9.1,Universal,417.2,2373.15,,INR,
Pathar P46,,,8.3,Columbia Pictures,64.73,4.1B,Billions,INR,Telugu
Dark Knight139,Hollywood,1984,6.2,Paramount,453.64,967.73,Millions,USD,Telugu
Doctor Strange143,Bollywood,1973,6.4,Warner Bros,341.89,4769.94,,INR,
Doctor Strange191,,1965,5.4,Universal,194.52M,1955.39,,USD,Bengali
Pursuit24,,1970,6.8,,197.67,2389.51,,INR,Hindi
KGF170,Hollywood,1962,N/A,Yash Raj Films,329.58,786.82,Billions,INR,Bengali
Avatar5,,1961,8.5,Columbia Pictures,347.93,3711.54,,INR,Kannada
Godfather 190,Hollywood,1970,8.4,DVV Entertainment,16.89,3730.62,Millions,USD,Bengali
Schindler187,,1975,6.6,Dharma Productions,364.83,,Millions,USD,Hindi
Parasite195,,1989,,Dharma Productions,-446.24,976.78,Billions,USD,Bengali
Bajirao9,Hollywood,,5.6,Columbia Pictures,,2452.26,Millions,USD,Telugu
RRR84,,,6.7,Columbia Pictures,40.97,3785.4,Millions,INR,Hindi
Godfather133,,,6.2,Columbia Pictures,496.87,944.94,,INR,
Shawshank 80,Bollywood,1964,7.6,Universal,392.44,4164.96,,INR,Hindi
Sanju159,Hollywood,1985,5.7,Columbia Pictures,285.95,1.57B,Billions,USD,Hindi
Dark Knight163,,1961,N/A,DVV Entertainment,14.1,1638.02,,USD,
Thor171,Hollywood,,8.3,Columbia Pictures,112.15,2349.46,Billions,USD,English
Avatar193,,,7.7,,176.51,1932.96,,USD,
Thor113,Bollywood,1979,8.7,Warner Bros,-107.16,1513.35,Billions,USD,Bengali
Munna Bhai55,,,6.0,Universal,242.6,1663.79,,INR,Telugu
Pathar P177,Bollywood,,6.3,Dharma Productions,434.71,4322.48,Millions,INR,
Bajirao15,Bollywood,1991,7.7,,414.42,1932.33,,INR,
Sanju162,Bollywood,,N/A,Universal,464.94M,,,INR,
PK180,Hollywood,,9.5,Marvel Studios,327.94,2854.6,,INR,Bengali
Jurassic Park 115,,1977,9.0,Paramount,150.49,749.87,,USD,Telugu
Dilwale122,,1999,,,,1161.27,Millions,INR,Bengali
Doctor Strange193,Hollywood,,8.3,,484.21,1068.79,,INR,
PK 161,,,6.9,Warner Bros,80.41,2280.17,Millions,INR,Hindi
Pathar P114,Bollywood,2000,8.1,,482.87,4466.48,,USD,Kannada
Dilwale64,Hollywood,1986,8.8,DVV Entertainment,450.86,,,INR,English
Captain America128,,2021,9.0,Columbia Pictures,301.2M,2314.48,,USD,
Avatar132,Bollywood,1971,N/A,DVV Entertainment,-172.76,68.5,,INR,Bengali
Taare Zameen53,Bollywood,2015,5.9,Dharma Productions,268.1,2826.17,,USD,Telugu
Kabhi Khushi51,,1957,7.6,Marvel Studios,-294.36,8.13B,Millions,USD,
KGF7,Hollywood,2004,7.5,Paramount,458.86,1716.08,,USD,Bengali
Schindler88,Bollywood,1950,6.4,Zee Studios,-215.58,1598.83,,INR,Bengali
Taare Zameen4,Hollywood,,8.5,Columbia Pictures,472.84,3974.22,,USD,English
Interstellar72,,1977,8.3,,476.36,4180.47,Millions,INR,
Pathar P 193,Bollywood,,6.0,Columbia Pictures,192.46M,7.77B,,INR,Kannada
Pathar P62,Hollywood,,5.2,,70.02,2401.84,,INR,
Titanic148,,1953,8.4,Universal,465.85,2839.31,Millions,INR,Telugu
Avatar37,Bollywood,1999,7.0,Marvel Studios,250.79,1402.63,Millions,USD,Hindi
Avengers27,Hollywood,1997,8.9,Marvel Studios,386.42,2428.21,Billions,INR,Kannada
Pushpa138,Bollywood,1993,N/A,Warner Bros,223.44,420.05,Billions,USD,
Doctor Strange175,Bollywood,,N/A,,384.34,4076.27,,USD,Hindi
Captain America119,Hollywood,1966,6.4,Marvel Studios,386.78,4539.73,Billions,USD,Kannada
Pushpa124,,1967,7.5,Paramount,-131.26,3736.89,Billions,USD,Hindi
Captain America85,Bollywood,2014,,Paramount,467.49,1540.86,,INR,Telugu
Dilwale175,Bollywood,2020,5.5,Zee Studios,483.69,2238.03,,USD,Hindi
Sanju58,,,8.2,Paramount,17.92,4327.69,Billions,INR,Bengali
KGF 106,,2022,7.5,Marvel Studios,22.13,,,INR,Telugu
PK 81,,,5.7,Dharma Productions,154.78,4088.39,Billions,USD,Hindi
Godfather46,Bollywood,2012,8.2,Paramount,207.73,1326.82,Billions,INR,
Dark Knight88,,,,Columbia Pictures,329.67M,914.86,,INR,Telugu
Avengers58,Hollywood,2008,6.4,Warner Bros,163.59,,,INR,Bengali
Shawshank128,Bollywood,1996,8.1,Dharma Productions,35.22,9.0B,Billions,USD,Kannada
Jurassic Park165,Hollywood,,N/A,Yash Raj Films,18.45,341.47,,INR,English
Titanic7,Bollywood,1972,6.4,,181.71,2864.86,Billions,INR,Hindi
Munna Bhai92,,2006,9.4,,317.21,3726.17,Millions,USD,
Pathar P62,Hollywood,2008,9.5,Marvel Studios,475.89,2068.56,,INR,English
Dark Knight 107,,1958,8.2,Universal,229.97,3583.58,,USD,Hindi
Doctor Strange134,,1955,8.8,Zee Studios,345.22,2913.83,,USD,Telugu
Dark Knight54,Hollywood,2023,5.9,,276.64,2945.39,Billions,INR,English
Schindler186,Hollywood,2023,8.2,,98.59,8.7B,Billions,USD,
Pathar P84,Bollywood,1997,6.6,Warner Bros,,,,INR,Kannada
Doctor Strange143,,2010,9.4,,178.47,1644.95,,INR,Hindi
Taare Zameen10,Bollywood,1998,5.4,Dharma Productions,-397.33,432.57,,USD,Telugu
3 Idiots120,Bollywood,,9.2,Dharma Productions,164.14,429.57,,USD,Hindi
Pushpa72,Bollywood,1997,7.6,Columbia Pictures,52.48,4079.46,Billions,INR,
3 Idiots97,Bollywood,,8.6,Yash Raj Films,397.23,1278.23,,USD,Hindi
PK110,Hollywood,2011,6.9,Universal,320.05,1600.72,,USD,Telugu
Godfather41,,1950,5.2,,32.94,1497.55,Billions,USD,
Thor 176,Hollywood,,8.3,Universal,37.75,1858.95,Millions,USD,
RRR59,,,5.9,Universal,444.73,2354.27,Millions,USD,Telugu
Pursuit159,,,8.5,,87.94,8.29B,,INR,
PK56,Bollywood,2004,5.7,Universal,279.29,4503.88,,USD,Hindi
RRR171,Hollywood,1997,7.4,Paramount,33.56,2843.49,,USD,Bengali
Pursuit102,,1965,N/A,DVV Entertainment,61.54,1148.6,,INR,
Sanju170,Bollywood,,9.2,Warner Bros,299.73,2920.98,Billions,USD,Kannada
Gladiator48,Hollywood,2015,5.6,DVV Entertainment,243.25,9.45B,,INR,
RRR46,,2011,5.3,Universal,95.37,4034.18,,INR,Telugu
Sanju97,Bollywood,1951,5.1,,336.33,3128.32,Billions,INR,English
RRR 108,Bollywood,,N/A,Marvel Studios,287.54,4881.3,,INR,Kannada
KGF136,Hollywood,1975,8.0,DVV Entertainment,485.94,4224.61,,INR,Telugu
KGF 140,,,5.7,DVV Entertainment,265.29,2348.72,,USD,Telugu
Pathar P 179,Bollywood,1975,8.7,Zee Studios,17.72,2511.78,Millions,USD,Hindi
3 Idiots167,Hollywood,2008,8.9,,205.63,4576.51,,USD,Kannada
Kabhi Khushi164,,2007,9.4,Paramount,434.08M,1039.01,Millions,INR,English
Shawshank41,,1964,9.0,Yash Raj Films,355.54,3240.4,Millions,INR,Telugu
Bajirao59,,1995,9.0,Paramount,,966.76,,INR,Bengali
Thor82,Bollywood,,7.3,Zee Studios,185.36,1093.45,,USD,
Dilwale191,Bollywood,1956,N/A,Warner Bros,454.84,3116.98,Millions,INR,
Schindler14,Bollywood,1971,9.4,Yash Raj Films,107.93,2832.67,,INR,English
RRR 7,,1975,5.6,,64.35,1645.19,Billions,INR,Bengali
Thor23,,1959,8.1,DVV Entertainment,31.49,2474.68,,INR,Hindi
Avatar25,,1977,9.3,Paramount,,1.43B,Billions,INR,Hindi
Godfather196,,2016,8.6,,75.14M,4381.02,Millions,USD,English
Schindler196,,1970,5.3,Dharma Productions,2.31,335.48,,INR,Telugu
Pursuit133,,1975,5.2,Zee Studios,305.98,4646.12,Billions,INR,Kannada
Kabhi Khushi 193,Bollywood,,6.2,Dharma Productions,416.66,3780.09,Billions,INR,Kannada
Schindler77,,1998,7.6,Columbia Pictures,38.32M,550.42,Billions,INR,Kannada
KGF76,Bollywood,,5.2,,138.19,3721.35,Millions,INR,
Dark Knight155,,1971,9.3,Zee Studios,87.59,4396.9,Millions,INR,Telugu
RRR59,,,5.9,Universal,444.73,2354.27,Millions,USD,Telugu
Parasite32,Hollywood,,7.8,Marvel Studios,70.8,2642.44,Billions,INR,Hindi
Dark Knight83,,1998,9.0,Columbia Pictures,401.69,672.74,Millions,USD,Telugu
3 Idiots50,Hollywood,2002,5.6,Paramount,237.2,4643.18,Millions,INR,English
Captain America16,Hollywood,2017,8.5,Warner Bros,400.39,3527.42,,INR,Bengali
Jurassic Park164,Bollywood,1980,8.2,Columbia Pictures,123.63,2321.92,,USD,Bengali
RRR151,,2010,6.9,Marvel Studios,359.99M,277.72,,INR,Kannada
Pushpa143,,,9.1,DVV Entertainment,-143.82,2099.41,Billions,USD,
Sanju187,Hollywood,1991,9.1,Paramount,,381.21,Billions,USD,Bengali
3 Idiots 73,Hollywood,1967,6.8,Universal,149.99M,1787.48,,INR,Hindi
Pathar P82,Hollywood,2021,N/A,Dharma Productions,,2164.35,Billions,USD,Hindi
Dark Knight101,Hollywood,,5.5,Warner Bros,197.97,2616.0,,USD,English
Sanju193,Bollywood,1967,6.1,Marvel Studios,268.12,2571.5,,USD,Telugu
Titanic 119,Hollywood,1976,9.4,Dharma Productions,116.68,4278.33,Billions,USD,Telugu
PK125,,1979,8.3,Marvel Studios,482.6,3325.23,,INR,Hindi
KGF193,Hollywood,,7.6,Warner Bros,88.15,4680.68,Millions,USD,Hindi
Munna Bhai99,Bollywood,1974,6.5,Warner Bros,68.3,2773.35,,INR,
Godfather 92,,1956,8.1,Paramount,386.27,1790.35,Billions,USD,English
Bajirao165,Hollywood,,5.0,Zee Studios,150.56,1028.27,Millions,INR,
Gladiator167,,,6.3,Columbia Pictures,211.42,4.43B,Billions,USD,Telugu
Doctor Strange36,,2019,,Dharma Productions,150.45,3380.0,Millions,USD,Telugu
Kabhi Khushi92,Hollywood,,5.6,Warner Bros,2.83,2188.06,,INR,Hindi
RRR40,,2019,7.4,Marvel Studios,88.28,364.87,Billions,INR,Hindi
Bajirao100,Hollywood,1994,6.4,Paramount,,3099.03,,INR,English
Jurassic Park22,Bollywood,,N/A,,,3020.08,,USD,Telugu
Gladiator182,Hollywood,2011,8.3,Yash Raj Films,-168.94,8.9B,,USD,Telugu
PK 134,,1995,9.3,,426.44,195.45,,USD,Hindi
Thor193,Hollywood,1989,N/A,Columbia Pictures,471.36,4913.14,Millions,USD,Kannada
Parasite27,Hollywood,1984,8.7,Zee Studios,4.28,1747.35,Millions,INR,English
Interstellar103,,1950,7.3,Yash Raj Films,189.5,63.42,Billions,INR,English
Interstellar97,,1956,8.4,,437.87,2069.84,,USD,
Shawshank69,,,7.2,Paramount,48.26,2134.19,,INR,Bengali
3 Idiots4,,1997,7.8,Columbia Pictures,1.51,2641.94,,INR,Kannada
